Competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Jordan Troyan'"," [['Fran'"," '2:52']"," ['Helen'"," '6:50']"," ['Grace'"," '1:49']"," ['Filthy 50'"," '17:30']"," ['Fight Gone Bad'"," '434']"," ['Sprint 400m'"," '0:55']"," ['Run 5k'"," '18:35']"," []"," ['Clean & Jerk'"," '305 lb']"," ['Snatch'"," '255 lb']"," ['Deadlift'"," '485 lb']"," ['Back Squat'"," '410 lb']"," ['Max Pull-ups'"," '50']]"," ['Mid Atlantic'"," 'CrossFit Rage'"," 'CrossFit Rage'"," '31'"," '5\'10""""""""'"," '180 lb'])"
"('Daniel Petro'"," [['Fran'"," '2:01']"," ['Helen'"," '7:15']"," ['Grace'"," '1:21']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '0']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '320 lb']"," ['Snatch'"," '285 lb']"," ['Deadlift'"," '515 lb']"," ['Back Squat'"," '480 lb']"," ['Max Pull-ups'"," '65']]"," ['South East'"," 'Crossfit West Cobb'"," 'CrossFit West Cobb'"," '27'"," '5\'11""""""""'"," '205 lb'])"
"('Stephen Pinkerton'"," [['Fran'"," '2:31']"," ['Helen'"," '7:31']"," ['Grace'"," '1:07']"," ['Filthy 50'"," '15:48']"," ['Fight Gone Bad'"," '471']"," ['Sprint 400m'"," '1:00']"," ['Run 5k'"," '21:05']"," []"," ['Clean & Jerk'"," '335 lb']"," ['Snatch'"," '275 lb']"," ['Deadlift'"," '510 lb']"," ['Back Squat'"," '410 lb']"," ['Max Pull-ups'"," '62']]"," ['Mid Atlantic'"," 'CrossFit Vitality'"," 'Male'"," '34'"," '6\'5""""""""'"," '242 lb'])"
"('Benjamin Williams'"," [['Fran'"," '2:28']"," ['Helen'"," '7:44']"," ['Grace'"," '2:18']"," ['Filthy 50'"," '18:50']"," ['Fight Gone Bad'"," '0']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '20:54']"," []"," ['Clean & Jerk'"," '330 lb']"," ['Snatch'"," '255 lb']"," ['Deadlift'"," '510 lb']"," ['Back Squat'"," '455 lb']"," ['Max Pull-ups'"," '0']]"," ['South East'"," 'CrossFit Bound'"," 'CrossFit Bound'"," '28'"," '6\'0""""""""'"," '196 lb'])"
"('Hudson Fricke'"," [['Fran'"," '2:16']"," ['Helen'"," '--']"," ['Grace'"," '1:28']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '295 lb']"," ['Snatch'"," '275 lb']"," ['Deadlift'"," '--']"," ['Back Squat'"," '390 lb']"," ['Max Pull-ups'"," '--']]"," ['South East'"," 'Southern Moon CrossFit'"," 'Male'"," '27'"," '6\'1""""""""'"," '200 lb'])"
"('Nathan Keil'"," [['Fran'"," '2:25']"," ['Helen'"," '7:56']"," ['Grace'"," '1:54']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '21:32']"," []"," ['Clean & Jerk'"," '305 lb']"," ['Snatch'"," '260 lb']"," ['Deadlift'"," '500 lb']"," ['Back Squat'"," '435 lb']"," ['Max Pull-ups'"," '65']]"," ['Mid Atlantic'"," 'CrossFit Altius'"," 'Male'"," '27'"," '6\'0""""""""'"," '195 lb'])"
"('Julian Serna'"," [['Fran'"," '2:12']"," ['Helen'"," '0:00']"," ['Grace'"," '1:35']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '0']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '265 lb']"," ['Snatch'"," '195 lb']"," ['Deadlift'"," '0 lb']"," ['Back Squat'"," '0 lb']"," ['Max Pull-ups'"," '55']]"," ['South East'"," 'Hallandale Beach CrossFit'"," 'Male'"," '32'"," '5\'11""""""""'"," '195 lb'])"
"('Dominick Maurici'"," [['Fran'"," '2:04']"," ['Helen'"," '7:38']"," ['Grace'"," '1:17']"," ['Filthy 50'"," '17:19']"," ['Fight Gone Bad'"," '483']"," ['Sprint 400m'"," '1:02']"," ['Run 5k'"," '19:47']"," []"," ['Clean & Jerk'"," '335 lb']"," ['Snatch'"," '260 lb']"," ['Deadlift'"," '545 lb']"," ['Back Squat'"," '475 lb']"," ['Max Pull-ups'"," '76']]"," ['South East'"," 'Caution CrossFit'"," 'Caution CrossFit'"," '26'"," '5\'7""""""""'"," '180 lb'])"
"('Lex Ozias'"," [['Fran'"," '2:06']"," ['Helen'"," '--']"," ['Grace'"," '1:38']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '325 lb']"," ['Snatch'"," '250 lb']"," ['Deadlift'"," '450 lb']"," ['Back Squat'"," '455 lb']"," ['Max Pull-ups'"," '55']]"," ['Mid Atlantic'"," 'Mountaineer CrossFit'"," 'Male'"," '23'"," '5\'7""""""""'"," '175 lb'])"
"('Brian Rottman'"," [['Fran'"," '2:17']"," ['Helen'"," '7:56']"," ['Grace'"," '1:46']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '413']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '325 lb']"," ['Snatch'"," '260 lb']"," ['Deadlift'"," '500 lb']"," ['Back Squat'"," '410 lb']"," ['Max Pull-ups'"," '--']]"," ['South East'"," 'Be Crossfit'"," 'Be CrossFit'"," '27'"," '5\'8""""""""'"," '175 lb'])"
