Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,Clean & Jerk,,Snatch,,Deadlift,,Back Squat,,,,,,Age,Height,Weight
Steven Fisher, Fran,0:02:14,0.001550926, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,315, Snatch,255, Deadlift,505, Back Squat,435, Max Pull-ups,55, Central East, FTW CrossFit, Male,26,173,187
Torey Throop, Fran,0:02:11,0.001516204, Helen, 7:46, Grace, 1:21, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,335, Snatch,275, Deadlift,500, Back Squat,425, Max Pull-ups,55, Central East, CrossFit in the D, Male,26,183,205
"""""""""Patrick OConnell""""""""", Fran,0:02:16,0.001574074, Helen, 0:00, Grace, 2:02, Filthy 50, 19:14, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,350, Snatch,265, Deadlift,485, Back Squat,420, Max Pull-ups,46, Central East, Four Barrel Crossfit, Four Barrel CrossFit,28,175,180
Arlen Castenada, Fran,0:02:25,0.001678241, Helen, 7:48, Grace, 1:07, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:52, Run 5k, --, , Clean & Jerk,375, Snatch,330, Deadlift,555, Back Squat,535, Max Pull-ups,60, North Central, Male,,26,178,217
Brice Collier, Fran,0:02:05,0.001446759, Helen, 7:36, Grace, 1:19, Filthy 50, 16:46, Fight Gone Bad,469, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk,295, Snatch,235, Deadlift,555, Back Squat,445, Max Pull-ups,57, North Central, Koda CrossFit, Koda CrossFit,29,180,197
Zach Sowder, Fran,0:02:18,0.001597222, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:55, Run 5k, 21:00, , Clean & Jerk,325, Snatch,240, Deadlift,550, Back Squat,485, Max Pull-ups,64, Central East, Rich City CrossFit, Rich City CrossFit,23,173,195
Mathew Fraser, Fran,0:02:07,0.001469907, Helen, --, Grace, 1:18, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,375, Snatch,315, Deadlift,500, Back Squat,485, Max Pull-ups,50, North East, Champlain Valley CrossFit, Champlain Valley CrossFit,25,168,185
Alex Vigneault, Fran,0:02:17,0.001585648, Helen, 7:12, Grace, --, Filthy 50, 14:54, Fight Gone Bad,457, Sprint 400m, --, Run 5k, 20:00, , Clean & Jerk,360, Snatch,290, Deadlift,600, Back Squat,455, Max Pull-ups,70, Canada East, CrossFit Quebec City, CrossFit Quebec City,23,180,205
Daniel Tyminski, Fran,0:02:22,0.001643519, Helen, 7:02, Grace, 0:00, Filthy 50, 14:50, Fight Gone Bad,504, Sprint 400m, 0:00, Run 5k, 18:38, , Clean & Jerk,340, Snatch,295, Deadlift,525, Back Squat,440, Max Pull-ups,0, North East, CrossFit Lindy, CrossFit Lindy,29,175,195
Spencer Hendel, Fran,0:02:25,0.001678241, Helen, 7:30, Grace, 1:30, Filthy 50, 17:40, Fight Gone Bad,447, Sprint 400m, 1:01, Run 5k, 20:32, , Clean & Jerk,365, Snatch,305, Deadlift,565, Back Squat,550, Max Pull-ups,62, North East, Reebok CrossFit Medfield, Male,27,188,215
Austin Malleolo, Fran,0:02:11,0.001516204, Helen, 6:56, Grace, 1:47, Filthy 50, 14:05, Fight Gone Bad,470, Sprint 400m, 0:59, Run 5k, 20:21, , Clean & Jerk,325, Snatch,255, Deadlift,570, Back Squat,420, Max Pull-ups,65, North East, Reebok CrossFit ONE Team A, Reebok CrossFit One,28,165,178
Craig Kenney, Fran,0:02:23,0.001655093, Helen, 7:30, Grace, 1:10, Filthy 50, 15:28, Fight Gone Bad,460, Sprint 400m, --, Run 5k, --, , Clean & Jerk,335, Snatch,285, Deadlift,525, Back Squat,445, Max Pull-ups, --, North East, Branford Crossfit, Branford CrossFit,28,183,200
Paul Tremblay, Fran,0:02:12,0.001527778, Helen, --, Grace, 1:48, Filthy 50, --, Fight Gone Bad,451, Sprint 400m, 1:00, Run 5k, --, , Clean & Jerk,365, Snatch,300, Deadlift,545, Back Squat,515, Max Pull-ups,59, Canada East, CrossFit NCR, CrossFit NCR,28,178,200
Tim Paulson, Fran,0:02:15,0.0015625, Helen, 6:58, Grace, 1:15, Filthy 50, 0:00, Fight Gone Bad,466, Sprint 400m, 1:01, Run 5k, 21:12, , Clean & Jerk,350, Snatch,290, Deadlift,500, Back Squat,465, Max Pull-ups,55, North East, CrossFit Pallas, CrossFit Pallas,25,185,213
Trevor James, Fran,0:02:26,0.001689815, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:04, Run 5k, 24:00, , Clean & Jerk,355, Snatch,285, Deadlift,550, Back Squat,485, Max Pull-ups,50, North East, CrossFit Bona Fide, Male,23,183,223
Adam Davidson, Fran,0:02:21,0.001631944, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 50:33, Run 5k, 17:44, , Clean & Jerk,335, Snatch,260, Deadlift,525, Back Squat,465, Max Pull-ups, --, Canada East, CrossFit NCR, CrossFit NCR,24,178,190
Pascal Baillargeon, Fran,0:02:26,0.001689815, Helen, --, Grace, 1:50, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 20:00, , Clean & Jerk,315, Snatch,245, Deadlift,505, Back Squat,405, Max Pull-ups, --, Canada East, CrossFit St-Jean, CrossFit St-Jean,23,180,200
Corey Lunney, Fran,0:02:18,0.001597222, Helen, 7:54, Grace, 1:42, Filthy 50, 19:42, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 18:43, , Clean & Jerk,305, Snatch,245, Deadlift,510, Back Squat,450, Max Pull-ups, --, North East, CrossFit Shrewsbury, CrossFit Shrewsbury,24,175,170
Zachary Moran, Fran,0:02:22,0.001643519, Helen, --, Grace, 1:25, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 22:30, , Clean & Jerk,320, Snatch,250, Deadlift,525, Back Squat,425, Max Pull-ups,74, North East, Columbia CrossFit, Male,24,175,188
daniel latour, Fran,0:02:31,0.001747685, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 51:00, Run 5k, --, , Clean & Jerk,335, Snatch,270, Deadlift,555, Back Squat,455, Max Pull-ups,50, Canada East, CrossFit Granby, CrossFit Granby,27,168,190
Carl Appel, Fran,0:02:16,0.001574074, Helen, 6:56, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,320, Snatch,260, Deadlift,450, Back Squat,425, Max Pull-ups, --, North East, Team CrossFit Hamilton, CrossFit Hamilton,25,178,194
Jack Corcoran, Fran,0:02:22,0.001643519, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad,420, Sprint 400m, --, Run 5k, 19:30, , Clean & Jerk,335, Snatch,275, Deadlift,535, Back Squat,435, Max Pull-ups,60, North East, Crossfit Parallax, CrossFit Parallax,28,185,207
Alexandre Caron, Fran,0:02:23,0.001655093, Helen, --, Grace, 1:55, Filthy 50, 20:02, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 19:02, , Clean & Jerk,315, Snatch,245, Deadlift,495, Back Squat,395, Max Pull-ups,50, Canada East, CrossFit L\xc3\xa9vis, Male,20,180,180
Kurt Garceau, Fran,0:02:17,0.001585648, Helen, 0:00, Grace, 1:34, Filthy 50, 0:00, Fight Gone Bad,451, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,350, Snatch,270, Deadlift,597, Back Squat,450, Max Pull-ups,74, North East, North Haven Crossfit, CrossFit North Haven,27,178,193
Justin Tamane, Fran,0:02:07,0.001469907, Helen, 8:02, Grace, 2:11, Filthy 50, --, Fight Gone Bad,364, Sprint 400m, --, Run 5k, --, , Clean & Jerk,315, Snatch,265, Deadlift,465, Back Squat,435, Max Pull-ups, --, Canada East, CrossFit Solid Ground, CrossFit Solid Ground,28,160,175
Anthony Vorachak, Fran,0:02:20,0.00162037, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 52:00, Run 5k, --, , Clean & Jerk,350, Snatch,275, Deadlift,605, Back Squat,465, Max Pull-ups,67, North East, CrossFit RVC, CrossFit RVC,27,175,187
Chris Cristini, Fran,0:02:24,0.001666667, Helen, 7:39, Grace, 1:37, Filthy 50, --, Fight Gone Bad,425, Sprint 400m, --, Run 5k, 20:19, , Clean & Jerk,315, Snatch,255, Deadlift,500, Back Squat,420, Max Pull-ups,53, Canada East, Reebok CrossFit East Woodbridge, Reebok CrossFit East Woodbridge,31,185,215
Benjamin Hebert, Fran,0:02:13,0.001539352, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, --, , Clean & Jerk,315, Snatch,255, Deadlift,500, Back Squat,465, Max Pull-ups, --, Canada East, CrossFit Quebec City, CrossFit Quebec City,25,175,175
Kyle Buchanan, Fran,0:02:29,0.001724537, Helen, 0:00, Grace, 0:00, Filthy 50, 22:31, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,295, Snatch,240, Deadlift,485, Back Squat,445, Max Pull-ups, --, Canada East, Maple City CrossFit, Maple City CrossFit,28,168,180
Reza Mashkoori, Fran,0:02:50,0.001967593, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:59, Run 5k, 19:12, , Clean & Jerk,300, Snatch,225, Deadlift,465, Back Squat,405, Max Pull-ups,0, Canada East, CrossFit NCR, CrossFit NCR,31,170,179
Vincent Tremblay, Fran,0:02:01,0.001400463, Helen, 0:00, Grace, 1:36, Filthy 50, 14:38, Fight Gone Bad,0, Sprint 400m, 0:56, Run 5k, 0:00, , Clean & Jerk,300, Snatch,225, Deadlift,510, Back Squat,440, Max Pull-ups,70, Canada East, Male,,27,173,177
Chase Smith, Fran,0:02:25,0.001678241, Helen, --, Grace, 1:35, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:56, Run 5k, --, , Clean & Jerk,321, Snatch,274, Deadlift,550, Back Squat,485, Max Pull-ups,57, North East, CrossFit Free, CrossFit Free,26,175,195
Brandon Crump, Fran,0:01:58,0.001365741, Helen, 0:00, Grace, 1:23, Filthy 50, 20:03, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 20:11, , Clean & Jerk,325, Snatch,255, Deadlift,505, Back Squat,450, Max Pull-ups,59, Canada East, CrossFit Crux, CrossFit Crux,26,160,177
Bj\xc3\xb6rgvin Karl Gu\xc3\xb0mundsson, Fran,0:02:23,0.001655093, Helen, 0:00, Grace, 2:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 19:20, , Clean & Jerk,335, Snatch,286, Deadlift,507, Back Squat,440, Max Pull-ups,65, Europe, Crossfit Hengill, CrossFit Hengill,23,178,185
Steven Fawcett, Fran,0:02:11,0.001516204, Helen, 6:50, Grace, 1:40, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 19:00, , Clean & Jerk,345, Snatch,265, Deadlift,445, Back Squat,441, Max Pull-ups,65, Europe, CrossFit JST Black, CrossFit JST,27,173,176
Phil Hesketh, Fran,0:02:14,0.001550926, Helen, 8:00, Grace, 1:41, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 1:08, Run 5k, 0:00, , Clean & Jerk,325, Snatch,280, Deadlift,529, Back Squat,485, Max Pull-ups,50, Africa, InnerFight, InnerFight CrossFit DXB,25,180,206
Filip Yang Fisker, Fran,0:02:26,0.001689815, Helen, 7:30, Grace, 1:16, Filthy 50, 17:50, Fight Gone Bad,400, Sprint 400m, 0:50, Run 5k, 22:00, , Clean & Jerk,353, Snatch,287, Deadlift,529, Back Squat,441, Max Pull-ups,60, Europe, Team Aarhus CrossFit, Aarhus CrossFit,25,196,230
Justin Ahrens, Fran,0:02:25,0.001678241, Helen, 0:00, Grace, 1:55, Filthy 50, 15:04, Fight Gone Bad,0, Sprint 400m, 0:58, Run 5k, 0:00, , Clean & Jerk,330, Snatch,270, Deadlift,485, Back Squat,420, Max Pull-ups,64, Africa, CrossFit Metalize, CrossFit MetaliZe,28,185,195
Frederik Aegidius, Fran,0:02:27,0.001701389, Helen, 8:00, Grace, 1:40, Filthy 50, 17:50, Fight Gone Bad,464, Sprint 400m, 1:07, Run 5k, 22:20, , Clean & Jerk,342, Snatch,265, Deadlift,507, Back Squat,463, Max Pull-ups,50, Europe, CrossFit Reykjav\xc3\xadk - Virtuosity, Reebok CrossFit Reykjav\xc3\xadk,28,174,195
Jason Smith, Fran,0:02:29,0.001724537, Helen, --, Grace, 1:20, Filthy 50, 21:33, Fight Gone Bad,436, Sprint 400m, 1:05, Run 5k, 19:30, , Clean & Jerk,345, Snatch,275, Deadlift,550, Back Squat,450, Max Pull-ups,45, Africa, CrossFit Kyalami, CrossFit Kyalami,31,185,195
Mikko Aronp\xc3\xa4\xc3\xa4, Fran,0:02:12,0.001527778, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,342, Snatch,276, Deadlift,536, Back Squat,456, Max Pull-ups,52, Africa, CrossFit Sand Warriors, Male,31,178,202
Sigur\xc3\xb0ur Hafsteinn J\xc3\xb3nsson, Fran,0:02:17,0.001585648, Helen, --, Grace, 1:34, Filthy 50, --, Fight Gone Bad,423, Sprint 400m, --, Run 5k, --, , Clean & Jerk,320, Snatch,265, Deadlift,496, Back Squat,448, Max Pull-ups, --, Europe, CFXY, CrossFit XY,25,175,195
Will Kane, Fran,0:02:16,0.001574074, Helen, 7:57, Grace, 1:43, Filthy 50, 17:17, Fight Gone Bad,411, Sprint 400m, --, Run 5k, 20:05, , Clean & Jerk,287, Snatch,231, Deadlift,463, Back Squat,375, Max Pull-ups,58, Europe, CrossFit Cheltenham, CrossFit Cheltenham,28,176,176
Mitchell Adams, Fran,0:02:17,0.001585648, Helen, 7:46, Grace, 1:51, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:59, Run 5k, --, , Clean & Jerk,287, Snatch,231, Deadlift,474, Back Squat,419, Max Pull-ups,56, Europe, CrossFit Wolverhampton, Male,24,167,169
Bartlomiej Lipka, Fran,0:02:43,0.001886574, Helen, --, Grace, 1:36, Filthy 50, --, Fight Gone Bad,0, Sprint 400m, 0:57, Run 5k, 20:30, , Clean & Jerk,315, Snatch,242, Deadlift,500, Back Squat,400, Max Pull-ups,45, Europe, Team R99, CrossFit R99,26,177,178
Stefano Migliorini, Fran,0:02:09,0.001493056, Helen, 7:00, Grace, 1:38, Filthy 50, 0:00, Fight Gone Bad,402, Sprint 400m, 1:11, Run 5k, 20:00, , Clean & Jerk,326, Snatch,254, Deadlift,518, Back Squat,518, Max Pull-ups,72, Europe, Reebok CrossFit Officine, Male,26,173,185
Samuel Gallego, Fran,0:02:19,0.001608796, Helen, --, Grace, 1:50, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:01, Run 5k, 19:52, , Clean & Jerk,287, Snatch,243, Deadlift,474, Back Squat,419, Max Pull-ups,65, Europe, CrossFit La Forja, Male,27,180,187
Laurent CAMPS, Fran,0:02:20,0.00162037, Helen, 7:15, Grace, 1:08, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 18:05, , Clean & Jerk,331, Snatch,276, Deadlift,474, Back Squat,419, Max Pull-ups, --, Europe, Team DC, Dragon CrossFit,25,178,198
Utku Tuncer, Fran,0:02:09,0.001493056, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,330, Snatch,275, Deadlift,474, Back Squat,419, Max Pull-ups, --, Africa, Antrum CrossFit, Male,29,174,195
ates boran, Fran,0:02:14,0.001550926, Helen, 7:34, Grace, 1:38, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,309, Snatch,254, Deadlift,474, Back Squat,419, Max Pull-ups,79, Africa, CrossFit 34, Male,29,173,169
Joakim Ro-Poulsen, Fran,0:03:00,0.002083333, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:59, Run 5k, --, , Clean & Jerk,276, Snatch,243, Deadlift,441, Back Squat,375, Max Pull-ups, --, Europe, Team Crossfit Copenhagen 1, CrossFit Nordvest,27,180,189
Sigur\xc3\xb0ur \xc3\x9erastarson, Fran,0:02:03,0.001423611, Helen, 6:57, Grace, 1:18, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,320, Snatch,254, Deadlift,584, Back Squat,507, Max Pull-ups,40, Europe, Team Hamar, CrossFit Hamar,31,179,205
Andrea Barbotti, Fran,0:02:20,0.00162037, Helen, --, Grace, 2:25, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,299, Snatch,229, Deadlift,463, Back Squat,386, Max Pull-ups,40, Europe, Male,,26,174,169
Joshua Wichtrup, Fran,0:02:33,0.001770833, Helen, 6:44, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:01, Run 5k, --, , Clean & Jerk,310, Snatch,225, Deadlift,475, Back Squat,445, Max Pull-ups, --, Europe, CrossFit Flensburg, Male,23,183,183
Alexandre Jolivet, Fran,0:02:05,0.001446759, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad,414, Sprint 400m, 0:58, Run 5k, 19:30, , Clean & Jerk,353, Snatch,254, Deadlift,617, Back Squat,551, Max Pull-ups, --, Europe, Male,,36,174,202
An\xc5\xbee Benko, Fran,0:02:28,0.001712963, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,276, Snatch,205, Deadlift,441, Back Squat,386, Max Pull-ups, --, Africa, CrossFit Sharq, Male,24,175,189
Lefteris Theofanidis, Fran,0:02:11,0.001516204, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,400, Snatch,310, Deadlift,441, Back Squat,640, Max Pull-ups, --, Europe, Royal CrossFit, Male,25,160,174
Mahmood Shalan, Fran,0:02:29,0.001724537, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,315, Snatch,225, Deadlift,500, Back Squat,395, Max Pull-ups, --, Africa, CrossFit Metalize, CrossFit MetaliZe,22,178,176
Pawe\xc5\x82 Kozak, Fran,0:02:45,0.001909722, Helen, --, Grace, 1:42, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 18:30, , Clean & Jerk,309, Snatch,243, Deadlift,441, Back Squat,375, Max Pull-ups,55, Europe, CrossFit GCW, Male,25,183,198
David Santa Cruz Borgstrand, Fran,0:02:18,0.001597222, Helen, 7:07, Grace, 1:22, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 1:03, Run 5k, 19:12, , Clean & Jerk,309, Snatch,265, Deadlift,507, Back Squat,452, Max Pull-ups,56, Europe, CrossFit 360 Degrees, Male,33,180,205
Richard Smith, Fran,0:02:31,0.001747685, Helen, 0:00, Grace, 1:58, Filthy 50, 0:00, Fight Gone Bad,389, Sprint 400m, 0:00, Run 5k, 16:45, , Clean & Jerk,285, Snatch,215, Deadlift,485, Back Squat,375, Max Pull-ups,70, Africa, CrossFit Kyalami, CrossFit Kyalami,27,183,187
Khan Porter, Fran,0:02:04,0.001435185, Helen, --, Grace, 1:34, Filthy 50, 16:40, Fight Gone Bad,468, Sprint 400m, --, Run 5k, --, , Clean & Jerk,342, Snatch,276, Deadlift,507, Back Squat,441, Max Pull-ups,70, Australia, CrossFit Play, CrossFit Play,26,181,205
Rob Forte, Fran,0:02:16,0.001574074, Helen, 7:01, Grace, 1:16, Filthy 50, 16:41, Fight Gone Bad,472, Sprint 400m, 0:59, Run 5k, 18:50, , Clean & Jerk,325, Snatch,270, Deadlift,495, Back Squat,418, Max Pull-ups,53, Australia, Reebok CrossFit Frankston, Reebok CrossFit Frankston,29,174,194
Chad Mackay, Fran,0:02:25,0.001678241, Helen, 7:00, Grace, 1:25, Filthy 50, 18:00, Fight Gone Bad,400, Sprint 400m, 1:00, Run 5k, 20:00, , Clean & Jerk,331, Snatch,299, Deadlift,529, Back Squat,441, Max Pull-ups,60, Australia, CrossFit Active, CrossFit Active Artarmon,34,185,215
Kevin Manuel, Fran,0:02:16,0.001574074, Helen, --, Grace, 1:46, Filthy 50, --, Fight Gone Bad,412, Sprint 400m, --, Run 5k, --, , Clean & Jerk,331, Snatch,287, Deadlift,529, Back Squat,419, Max Pull-ups,55, Australia, Mount CrossFit, Male,29,187,198
Ben Garard, Fran,0:02:05,0.001446759, Helen, 7:06, Grace, 1:30, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:58, Run 5k, 19:15, , Clean & Jerk,331, Snatch,267, Deadlift,540, Back Squat,481, Max Pull-ups,55, Australia, BENtonCrossFit, Bent On CrossFit,27,165,183
James Connew, Fran,0:02:29,0.001724537, Helen, --, Grace, 2:09, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,300, Snatch,255, Deadlift,445, Back Squat,375, Max Pull-ups, --, Australia, CrossFit 3216, CrossFit 3216,26,177,182
Kyle Frankenfeld, Fran,0:02:47,0.00193287, Helen, 8:05, Grace, 1:57, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 1:05, Run 5k, 0:00, , Clean & Jerk,315, Snatch,249, Deadlift,496, Back Squat,474, Max Pull-ups,50, Australia, CrossFit Moorabbin, CrossFit Moorabbin,26,181,192
Dean Linder-Leighton, Fran,0:02:12,0.001527778, Helen, 0:00, Grace, 1:28, Filthy 50, 0:00, Fight Gone Bad,520, Sprint 400m, 0:55, Run 5k, 19:30, , Clean & Jerk,342, Snatch,298, Deadlift,551, Back Squat,441, Max Pull-ups,75, Australia, CrossFit Superbox, Male,25,175,189
Rory Boyden, Fran,0:02:25,0.001678241, Helen, 7:12, Grace, 1:32, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:49, Run 5k, 18:11, , Clean & Jerk,282, Snatch,231, Deadlift,441, Back Squat,353, Max Pull-ups, --, Australia, Team Creature, CrossFit Creature,25,184,185
Brandon Swan, Fran,0:02:03,0.001423611, Helen, 7:48, Grace, 1:20, Filthy 50, 17:55, Fight Gone Bad,410, Sprint 400m, 0:58, Run 5k, 0:00, , Clean & Jerk,330, Snatch,276, Deadlift,551, Back Squat,441, Max Pull-ups,70, Australia, CrossFit Brisbane, Male,24,175,185
Patrick Fitzsimons, Fran,0:02:25,0.001678241, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,299, Snatch,243, Deadlift,507, Back Squat,397, Max Pull-ups,0, Australia, CrossFit Active, CrossFit Active Artarmon,26,175,174
Zeke Grove, Fran,0:02:00,0.001388889, Helen, 7:13, Grace, 1:15, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,320, Snatch,249, Deadlift,463, Back Squat,397, Max Pull-ups,66, Australia, Live Elite CrossFit, Live Elite CrossFit,23,169,176
James Newbury, Fran,0:02:18,0.001597222, Helen, 6:59, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,369, Sprint 400m, 0:53, Run 5k, 18:44, , Clean & Jerk,276, Snatch,220, Deadlift,496, Back Squat,375, Max Pull-ups,85, Australia, Team Mode, CrossFit Mode,25,177,191
Joel Munro, Fran,0:02:12,0.001527778, Helen, --, Grace, 1:40, Filthy 50, 17:40, Fight Gone Bad,510, Sprint 400m, --, Run 5k, --, , Clean & Jerk,298, Snatch,231, Deadlift,485, Back Squat,375, Max Pull-ups, --, Australia, CrossFit Raw Commando, Male,24,172,167
Joshua Santhou, Fran,0:02:11,0.001516204, Helen, 7:56, Grace, 1:46, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 19:00, , Clean & Jerk,309, Snatch,271, Deadlift,507, Back Squat,441, Max Pull-ups, --, Australia, PH Crossfit, CrossFit Drummoyne,26,183,191
Michael Mogard, Fran,0:02:18,0.001597222, Helen, 7:30, Grace, 2:20, Filthy 50, 0:00, Fight Gone Bad,411, Sprint 400m, 1:00, Run 5k, 21:00, , Clean & Jerk,330, Snatch,290, Deadlift,561, Back Squat,471, Max Pull-ups,53, Asia, Reebok CrossFit 673, Reebok CrossFit 673,31,175,182
Sean Brickwood, Fran,0:02:10,0.00150463, Helen, 7:24, Grace, 1:50, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,298, Snatch,231, Deadlift,448, Back Squat,381, Max Pull-ups,45, Australia, CrossFit Origin, Male,26,175,175
Scott Hutchison, Fran,0:02:19,0.001608796, Helen, 7:34, Grace, 1:38, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 1:02, Run 5k, 19:44, , Clean & Jerk,313, Snatch,247, Deadlift,551, Back Squat,463, Max Pull-ups,67, Australia, BTS CrossFit, BTS CrossFit,33,176,180
Hayden LaVanda, Fran,0:02:58,0.002060185, Helen, 0:00, Grace, 1:57, Filthy 50, 0:00, Fight Gone Bad,477, Sprint 400m, 0:58, Run 5k, 20:30, , Clean & Jerk,320, Snatch,254, Deadlift,507, Back Squat,425, Max Pull-ups,65, Australia, CrossFit Artax, Male,22,178,189
Kieran Hogan, Fran,0:02:20,0.00162037, Helen, 7:30, Grace, 1:50, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:59, Run 5k, 18:20, , Clean & Jerk,331, Snatch,269, Deadlift,465, Back Squat,419, Max Pull-ups,60, Australia, Schwartzs CrossFit Melbourne, CrossFit Melbourne,27,177,187
Fiodor Serkov, Fran,0:02:22,0.001643519, Helen, --, Grace, 1:35, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,324, Snatch,265, Deadlift,463, Back Squat,441, Max Pull-ups,80, Asia, CrossFit EKB, Male,23,175,194
Callum Ward, Fran,0:02:20,0.00162037, Helen, 8:13, Grace, 1:42, Filthy 50, 0:00, Fight Gone Bad,430, Sprint 400m, 1:13, Run 5k, 21:26, , Clean & Jerk,309, Snatch,254, Deadlift,534, Back Squat,452, Max Pull-ups,65, Australia, CrossFit Chalk City, Male,28,185,203
CJ Walker, Fran,0:02:07,0.001469907, Helen, --, Grace, 1:45, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,326, Snatch,265, Deadlift,485, Back Squat,408, Max Pull-ups,50, Australia, CF Hunter, CrossFit Hunter,28,180,198
Alex Ranieri, Fran,0:02:17,0.001585648, Helen, 0:00, Grace, 1:34, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:02, Run 5k, 23:50, , Clean & Jerk,331, Snatch,264, Deadlift,573, Back Squat,485, Max Pull-ups,38, Australia, CrossFit Wellbeing, Male,30,193,245
David Wiggin, Fran,0:02:24,0.001666667, Helen, --, Grace, 2:03, Filthy 50, --, Fight Gone Bad,415, Sprint 400m, 1:05, Run 5k, 18:07, , Clean & Jerk,289, Snatch,243, Deadlift,511, Back Squat,441, Max Pull-ups,65, Australia, Trailblazer Vikings, CrossFit Trailblazer,25,178,187
